company_name for Emails,facebook_url,domain
Indonesian Army,,kangamay.com
Santander,https://www.facebook.com/santanderglobal,santander.com
Principality of Asturias,https://www.facebook.com/Instituto-Asturiano-de-la-Mujer-215820241034,asturias.es
IFA Group,https://facebook.com/GrupoIFA,grupoifa.com
Atento,https://facebook.com/AtentoCorp/,atento.com
BBVA,https://www.facebook.com/BBVAGroup/,bbva.com
Konecta,,konecta.com
Mercadona,https://www.facebook.com/gpshospitality/,avature.net
Telefónica,https://www.facebook.com/telefonica,telefonica.com
El Corte Inglés,https://www.facebook.com/ambitocultural,elcorteingles.com
CRH Ventures,https://facebook.com/profile.php?id=103728936332669&paipv=0&eav=AfZLxqeX6vPy5aD-WBMtxbM9AYl1A_620bWwotPb3EsWiA2h2LV1U8_WEldAuy_zMXE&_rdr,crhventures.com
CLECE S.A,https://www.facebook.com/CleceSociedadAnonima/,clece.es
Leroy Merlin,,adeo.com
Inditex,https://facebook.com/inditexgroup,inditex.com
Freelance,,ondira.com
EULEN Flexiplán,,quintesuisse.net
Grupo EULEN,https://www.facebook.com/EULENGRUPO,eulen.com
MONDRAGON,https://es-es.facebook.com/MONDRAGON.Corporation/,mondragon-corporation.com
AIRTIFICIAL,,airtificial.com
ACCIONA,https://facebook.com/ACCIONA/,acciona.com
Indra,https://facebook.com/indracompany/,indracompany.com
Prosegur,https://facebook.com/ProsegurUSA/,prosegur.com
Correos,https://facebook.com/correos.es,correos.es
Urbaser,https://www.facebook.com/urbaser/,urbaser.com
Autónomo,,
Autónomo,,
CaixaBank,https://www.facebook.com/caixabank,caixabank.com
Minsait,,minsait.com
Iberdrola,,iberdrola.com
Gestamp,https://facebook.com/Gestamp-179866645539891/,gestamp.com
Quirónsalud,https://facebook.com/quironsalud.es/#,quironsalud.com
ILUNION,https://es-es.facebook.com/ILUNION/,ilunion.com
Randstad España,https://facebook.com/pages/Avanzo/176428315938,randstad.es
Barcelo Hotel Group,https://www.facebook.com/barcelohotels,barcelo.com
Iberostar Hotels & Resorts,https://facebook.com/IBEROSTARHotels/,iberostar.com
MAPFRE,https://www.facebook.com/MAPFRE.ES/,mapfre.com
Eroski,https://www.facebook.com/Eroski,eroski.es
DomusVi España,https://es-es.facebook.com/domusvi.es,domusvi.es
NTT DATA Europe & Latam,https://www.facebook.com/NTTDATA.Deutschland,nttdata.com
GLOBALVIA,,globalvia.com
repsol,https://www.facebook.com/repsol,repsol.com
Agencia Estatal de la Administración Tributaria,,agenciatributaria.gob.es
Siemens Gamesa,https://www.facebook.com/Siemens,siemensgamesa.com
CIE Automotive,https://facebook.com/CIEMatriconSA,cieautomotive.com
Applus+,https://facebook.com/ApplusRTD/,applus.com
Cuenta propia,https://facebook.com/aparejadores.alicante,coaatalicante.org
Kiro Grifols,,kirogrifols.com
RIU Hotels & Resorts,https://facebook.com/Riuhoteles,riu.com
Grifols,https://facebook.com/giveplasma/,grifols.com
Comunidad de Madrid,https://www.facebook.com/ComunidadMadrid/,comunidad.madrid
Bershka,https://facebook.com/bershka/,bershka.com
Home,,rczero.com
Consum Cooperativa Valenciana,https://www.facebook.com/supermercadosconsum,consum.es
Particular,,
Particular,,
Amadeus,https://www.facebook.com/AmadeusITGroup/,amadeus.com
Grupo Cobra,https://facebook.com/grupo-cobra-cobra-peru-149160565265502,grupocobra.com
Antolin,https://www.facebook.com/AntolinGlobal,antolin.com
Roca Group,,rocagroup.com
Lidl España,,lidl.es
Departament d'Ensenyament,,
Departament d'Ensenyament,,
Banco Sabadell,,bancosabadell.mx
Meliá Hotels International,https://facebook.com/Melia.Hotels,meliahotelsinternational.com
NH Hotel Group,,nh-hoteles.es
AmRest,,amrest.eu
MANGO,https://www.facebook.com/mango.com/,mango.com
Ayuntamiento de Madrid,https://www.facebook.com/ayuntamientodemadrid/,madrid.es
Grupo Tragsa,,tragsa.es
SACYR,https://facebook.com/SomosSacyr/,sacyr.com
CAF,https://facebook.com/Construcciones-y-Auxiliar-de-Ferrocarriles-CAF-SA-117780788246597/,cafmobility.com
Aegon Seguros,https://www.facebook.com/AegonSegurosEspana,aegon.es
Grupo Almo,,grupoalmo.com
Grupo Dia,,diacorporate.com
Departament d'Educació i Formació Professional,,
Departament d'Educació i Formació Professional,,
Orden Hospitalaria de San Juan de Dios Provincia de España,,sjd.es
Minor Hotels Europe and Americas,,minorhotels.com
Servei de Salut de les Illes Balears,,ibsalut.es
PreZero España,,prezero.es
Globalia,,globalia.com
SEAT S.A,https://www.facebook.com/seat/,seat.com
Santander Consumer Finance,,santanderconsumer.com
Renfe,https://facebook.com/Renfe,renfe.com
ADIF,https://www.facebook.com/Adif/,adif.es
Vithas,https://www.facebook.com/HospitalesVithas,vithas.es
SARquavitae,https://facebook.com/SARquavitae.es,sarquavitae.es
CSIC,https://es-es.facebook.com/csic/,
CONSEJO SUPERIOR DE INVESTIGACIONES CIENTÍFICAS,,fundiveurope.eu
CSIC,https://es-es.facebook.com/csic/,
Palladium Hotel Group,,palladiumhotelgroup.com
Administración Pública Local,,
Saica Group,https://facebook.com/groupsaica/,saica.com
DOMINION GLOBAL,,dominion-global.com
ZARA,https://facebook.com/Zara/,zara.com
Sanitas,https://www.facebook.com/pages/Sanitas/134808980371,sanitas.es
Ayesa,https://es-es.facebook.com/ayesa.paginaoficial/,ayesa.com
Restaurant,,
Administración Pública Local,,
Restaurant,,
Bon Preu S.A.U,https://www.facebook.com/supermercatsbonpreuesclat,bonpreuesclat.cat
Carrefour España,https://facebook.com/carrefour/,carrefour.es
